,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.QG.A5YV.01A,15878,10877,28,921,8,3,2,1752,85,1148,312,7,66,2854,75,18,94283,27,6,215,0,1124,462,3,241528,1499,54,3,1,177,2,3,5497,1263,18,83,87,862,28,492,10540,3083,436,949,8173,132,121,3,4,4,2,484,6,199,205,28,50,6,49,1,42,558,79,2,0,360,199,2,45,57,750038,13024,19,68,2,117,2,0,5,38,22,1179,36,0,3,6,623,5,0,29,40,95729,2,0,198,18,10,0,117,1,0,5,1512,4060,65,2,1,69,139,105,139,0,1,4,124303,5999,81,455,3,0,11,6,22,16326,2519,3,152,18340,34,63,20,64161,1649,144179,144,63319,7,47,1111,64,62,0,0,19,1,1,72,31,8,569,7192,9,38,21,1533,2291,6,4,5,0,21,5191,14,2747,352,2,10,173,7,16,10,20,37,503,62,2,764,40
TCGA.QG.A5Z2.01A,27386,15583,71,1207,10,4,1,967,53,721,390,5,113,10178,118,68,157569,46,0,363,0,3277,708,3,375353,3183,56,2,8,139,5,3,4206,803,12,133,64,3395,22,1508,5473,3016,191,520,5325,91,56,15,6,2,12,575,5,150,288,44,121,7,88,3,35,1829,306,16,0,532,150,0,90,54,1138686,16890,21,59,0,86,5,1,44,62,14,1042,36,0,4,6,557,5,0,19,25,122256,2,0,300,20,10,4,118,0,0,3,1733,4383,79,3,0,55,396,84,234,0,0,0,112715,6275,105,882,3,4,10,3,30,17073,2773,10,251,7194,16,90,37,51826,1714,146536,195,46522,8,90,793,75,83,0,0,35,8,0,299,21,3,543,5146,11,5,10,1360,1473,3,9,10,0,16,5479,8,2444,305,6,11,174,5,9,14,29,58,496,27,0,422,23
TCGA.QL.A97D.01A,16479,11400,31,1147,2,4,0,758,30,450,321,8,96,5375,104,18,135933,31,2,287,1,3103,1757,0,337053,1931,113,13,6,81,8,3,5460,1535,13,93,94,3386,63,2062,10787,3442,200,467,9179,149,93,5,1,0,7,641,3,149,312,35,114,5,74,0,11,2130,409,33,2,434,149,0,32,24,750345,14164,48,48,0,71,5,2,10,41,24,1413,23,0,3,4,581,21,0,8,10,92763,2,0,300,14,7,2,146,0,0,10,1734,4063,64,0,1,37,181,89,158,0,0,2,193892,5885,90,788,2,1,4,6,45,17301,2685,4,180,12505,24,62,20,42143,1200,24269,72,10436,1,25,547,63,69,0,2,13,13,0,464,7,19,479,7077,10,12,18,968,1395,6,7,3,0,43,22374,36,3350,231,34,10,142,1,8,4,52,83,531,18,0,601,32
TCGA.R5.A7O7.01A,2016,882,17,492,1,0,2,729,12,287,39,3,22,1911,37,3,9647,13,0,234,0,1734,70,0,22367,144,79,27,6,27,3,2,149,375,6,63,28,1131,3,363,1095,673,50,43,593,5,2,5,0,1,1,209,5,73,157,19,107,5,59,6,8,2272,716,9,0,460,73,0,11,16,468497,1643,27,66,2,89,0,0,1,25,12,652,13,1,2,2,323,3,1,0,34,50594,1,1,131,9,5,1,94,0,0,1,651,889,20,0,2,21,143,20,11,0,1,0,614050,6904,158,250,1,6,1,8,49,10493,1916,2,39,215,5,15,2,11156,787,7720,12,5889,1,7,114,4,6,0,2,6,5,0,743,8,0,124,4862,3,0,11,565,519,0,1,0,0,22,2111,6,534,160,2,3,156,1,13,4,13,24,244,4,0,43,4
TCGA.R5.A7ZF.01A,7808,4903,71,1844,5,0,2,1115,33,903,347,6,36,2878,41,0,13576,19,1,294,0,2161,133,0,35356,378,68,11,16,76,4,4,765,217,8,244,20,3146,3,656,3524,2002,203,167,1848,38,23,4,5,0,28,442,10,155,263,47,74,3,14,1,28,2858,445,24,2,693,155,3,21,54,859084,7270,16,21,0,15,3,0,8,91,88,1275,30,0,3,4,360,2,1,25,217,99496,3,0,243,23,8,3,294,0,0,2,2967,2666,20,1,1,85,288,29,50,0,0,4,541450,9365,144,378,0,10,9,1,114,34750,7199,8,160,724,40,14,0,25985,2501,75229,113,50050,6,55,971,45,36,0,1,11,5,0,953,41,5,256,7864,4,0,10,960,827,6,1,6,0,56,3672,14,1151,231,5,5,157,6,26,5,37,63,660,7,0,41,7
TCGA.R5.A7ZI.01A,1657,1674,29,628,5,3,1,358,22,284,7,1,32,7063,27,0,15122,50,0,229,0,2500,339,0,54750,429,35,6,6,44,1,1,2158,178,9,188,44,2380,11,492,1001,1287,117,109,672,12,13,9,1,7,27,196,3,65,244,12,49,0,18,0,5,3840,635,51,1,188,65,1,21,20,489069,8874,19,3,0,2,0,1,2,28,7,183,54,0,5,3,281,3,2,19,19,52253,5,1,214,8,4,0,89,1,0,0,1654,1373,38,3,7,7,93,21,1,0,0,1,179266,1249,41,537,23,0,3,1,46,25658,5032,3,122,36,11,69,38,10773,1541,54726,118,17522,3,13,92,22,23,0,0,28,5,1,1022,12,3,123,3568,1,41,10,863,403,2,5,2,0,93,1948,49,800,148,8,4,129,5,21,4,30,12,529,20,0,17,3
TCGA.R5.A7ZR.01A,17872,9850,24,1250,6,8,7,1840,34,559,392,36,56,7432,111,362,196598,25,6,527,0,2309,2129,0,416297,3122,87,19,21,510,3,4,3619,5169,22,86,56,2147,40,1230,4370,4987,292,286,3421,66,31,7,4,1,5,569,14,88,469,28,105,9,38,5,44,913,392,14,1,540,88,6,46,60,899069,7932,71,35,1,45,0,1,5,124,19,498,100,0,14,5,878,3,0,3,27,174637,9,16,314,14,11,3,192,0,0,13,2240,3602,44,4,6,0,279,61,185,0,0,2,423174,3112,95,1264,4,2,4,4,106,26858,4759,16,166,469,25,94,39,30062,2386,24991,41,13976,4,14,883,23,20,0,6,29,13,0,318,26,10,524,15250,5,1,6,453,421,3,4,3,0,186,8491,45,2549,830,28,9,152,4,41,13,18,31,1652,75,0,27,3
TCGA.RD.A7BS.01A,3473,1742,21,385,1,1,1,982,15,294,133,4,33,14878,54,0,22263,16,0,202,0,2170,589,2,54641,83,61,24,9,137,1,1,739,375,4,159,28,1053,6,336,771,1217,58,61,673,10,5,9,0,0,7,228,1,82,99,23,195,11,75,0,5,2546,690,33,1,338,82,5,20,10,1556511,6032,8,125,0,247,0,0,8,45,35,990,10,0,2,6,226,1,3,8,21,60241,0,0,159,8,3,0,40,1,1,1,655,906,16,1,5,26,168,11,31,1,0,0,1521407,7419,290,239,5,0,4,22,87,44405,9093,2,34,201,10,23,18,8450,930,27337,41,10175,2,7,96,18,5,0,1,11,2,1,373,2,3,131,6054,1,14,9,643,389,1,5,3,0,11,1567,6,421,62,4,2,184,6,5,2,9,12,382,8,1,53,7
TCGA.RD.A7BW.01A,817,472,16,666,1,1,0,505,9,435,1,0,103,11079,138,0,2129,19,3,217,8,1738,515,0,4521,11,376,94,12,148,3,1,1819,83,3,201,19,1117,11,403,864,1128,30,48,687,19,6,19,0,0,4,192,10,237,139,92,280,24,94,0,8,521,135,2,0,1158,237,3,44,39,1475002,4412,10,1480,7,1178,1,0,7,57,76,2162,19,21,3,8,295,2,4,2,195,91025,1,0,129,11,1,0,31,4,0,0,247,992,10,8,3,10,258,28,10,0,1,0,4359668,55969,1078,285,7,33,2,206,323,147885,40028,2,43,238,13,20,13,8438,840,6848,3,1828,1,18,83,15,5,2,486,7,3,2,92,3,1,174,6125,4,19,9,1260,729,1,5,0,1,9,2297,8,548,65,1,6,241,4,6,5,34,46,1304,13,0,36,3
TCGA.RD.A7C1.01A,4894,3588,33,698,12,4,1,559,36,493,80,2,23,3442,23,34,12823,20,0,147,0,1668,705,0,34457,208,19,0,20,63,0,5,955,154,5,96,35,1552,12,469,1710,960,194,112,755,14,29,10,2,3,4,180,0,52,116,18,53,1,22,0,10,1088,419,24,2,229,52,0,9,25,439277,4906,10,3,0,4,0,0,2,15,7,245,14,0,2,4,204,2,0,1,15,47023,2,0,184,12,2,0,81,1,0,4,382,1448,28,0,1,1,89,26,26,0,0,1,255399,1605,53,327,0,0,0,1,60,13627,4931,4,41,376,14,59,19,9497,936,18194,38,13701,1,15,370,21,14,0,0,15,6,0,349,3,2,116,3973,3,2,14,717,487,5,1,2,0,23,2641,25,943,263,8,4,150,4,17,4,23,16,338,6,0,6,3
TCGA.RD.A8MV.01A,2882,952,28,811,4,1,6,720,8,481,67,1,57,12533,58,6,43367,14,0,520,0,4553,1169,2,80071,337,136,63,7,176,4,4,986,1988,1,238,63,2406,38,1254,2049,1928,197,173,1879,25,10,9,2,1,16,305,2,44,266,36,145,6,78,3,8,2181,256,34,0,353,44,0,49,24,1013474,5693,29,68,0,304,4,1,4,48,18,842,30,0,1,2,342,1,0,27,5,77593,7,7,422,6,5,0,77,0,0,0,1071,1926,51,1,6,29,210,27,37,0,0,1,532429,5280,119,240,4,26,0,12,110,49069,6364,0,154,203,8,61,31,25173,1588,12674,39,4532,7,49,170,43,35,0,4,23,5,0,465,4,3,216,5067,6,4,8,936,513,1,7,1,0,29,3728,19,547,89,2,3,293,6,10,2,15,40,600,33,1,24,6
TCGA.RD.A8MW.01A,3747,1643,23,463,3,1,2,333,10,239,76,4,44,7968,60,0,9171,4,1,159,0,2826,337,0,23608,82,49,14,6,99,2,3,1337,152,4,197,18,829,12,406,1636,1006,67,85,1256,19,11,11,0,0,10,237,7,75,137,25,52,4,31,1,21,556,98,10,1,243,75,0,9,7,795660,5892,8,125,4,390,0,0,7,32,18,662,24,2,3,2,163,2,1,9,59,37442,2,5,191,7,1,0,40,0,0,0,370,729,21,0,4,18,128,19,1,1,0,1,712712,10927,193,238,5,10,2,13,76,23445,3985,1,79,414,4,18,8,38560,1858,18958,43,6809,2,6,22,17,4,0,14,16,2,0,128,8,0,152,3321,5,2,2,427,370,1,5,1,0,15,2979,20,493,88,2,6,189,0,5,6,18,23,309,28,1,233,27
TCGA.RD.A8N0.01A,6726,2669,25,726,2,1,5,658,10,541,85,5,90,22489,107,4,31790,20,0,297,0,3546,200,6,44974,320,318,93,9,387,2,0,456,190,6,257,20,1247,14,543,1402,1478,61,106,1433,20,7,7,0,1,6,231,1,125,195,55,481,33,252,1,7,1935,425,14,0,393,125,0,22,36,1109463,6368,10,211,1,341,0,1,5,57,59,1373,13,0,2,10,207,4,12,23,51,80056,2,3,250,6,2,0,28,4,1,1,580,1566,19,3,4,6,332,23,11,1,1,0,838882,9967,205,361,12,23,4,16,122,60867,10418,0,117,71,1,45,18,12176,1020,11983,15,3041,1,29,121,26,4,0,7,5,3,0,418,2,0,187,6507,4,98,18,752,679,0,2,4,0,16,3633,9,619,68,9,8,237,2,4,8,16,29,703,13,2,11,6
TCGA.RD.A8N1.01A,5649,2576,25,358,1,2,1,362,17,396,53,2,46,9681,54,2,22144,21,0,166,0,5919,219,1,32434,179,97,45,3,124,3,11,615,240,5,112,31,1521,21,858,2038,1166,88,106,2388,32,14,9,2,1,2,123,2,35,156,15,122,8,56,0,5,317,79,0,0,133,35,0,23,13,782326,4187,9,51,2,166,0,0,6,35,22,513,7,0,1,0,146,2,2,10,18,73521,2,0,230,1,3,2,37,1,0,1,566,837,29,0,1,19,146,9,5,0,0,0,283889,3159,65,368,1,3,2,5,69,23690,3940,2,108,151,5,30,13,20645,890,9118,27,2008,0,18,124,7,1,0,3,12,4,0,61,2,0,116,3317,4,3,10,511,287,3,0,1,0,4,2642,9,575,82,6,5,187,2,11,5,10,47,330,19,0,22,3
TCGA.RD.A8N2.01A,370,225,3,446,0,0,1,515,10,209,13,1,80,4370,116,0,2448,7,0,147,0,1213,44,0,3513,25,809,251,8,102,5,2,89,22,1,68,4,333,5,358,801,461,16,27,916,12,5,9,0,0,3,93,16,145,82,89,104,35,57,1,8,66,27,1,0,820,145,0,14,10,1348773,4266,18,1379,8,3435,0,0,2,39,46,2784,16,2,3,2,210,2,14,2,48,63287,0,0,127,11,1,0,5,2,0,0,153,613,2,2,7,6,379,9,2,0,2,1,3443995,58508,631,363,15,2,1,82,278,92287,20831,0,29,6,4,5,6,12092,276,2040,2,405,0,11,84,9,3,1,289,5,1,5,32,1,0,128,4233,4,6,5,538,487,2,1,1,1,1,2027,1,305,53,6,0,181,0,3,4,69,92,179,5,5,18,1
TCGA.RD.A8N4.01A,299,126,5,646,2,0,0,380,3,122,0,0,113,7204,128,0,498,12,1,152,0,799,51,0,670,2,651,195,5,38,1,2,99,240,3,80,4,599,6,332,730,295,14,36,732,5,3,4,0,1,7,85,11,256,130,68,235,28,71,1,2,1805,483,11,1,1173,256,0,9,10,261978,1499,5,1851,15,6766,0,0,0,30,46,2342,13,0,2,2,158,1,6,7,57,50968,1,0,107,6,0,0,13,4,2,1,210,694,5,3,7,4,233,12,0,0,0,0,3370194,97213,1036,562,10,25,2,131,279,99395,18450,0,51,11,2,20,4,9897,385,20208,26,6106,0,20,74,7,4,4,331,5,2,2,550,2,4,119,3063,6,9,3,599,333,0,0,3,0,2,1592,2,248,29,0,3,175,1,4,9,80,130,175,5,9,2,0
TCGA.RD.A8N5.01A,4171,1391,40,1242,2,0,5,927,19,690,145,6,47,4768,51,1,34608,8,0,494,0,4561,301,0,45612,132,114,36,7,181,1,2,754,137,15,232,30,1764,17,1182,1197,959,83,113,1259,22,3,7,1,0,15,272,7,104,263,44,64,3,82,0,6,11056,1555,78,3,1032,104,5,26,19,1935808,7751,19,10,0,50,0,0,11,55,33,1275,24,1,1,3,343,1,0,15,14,76452,2,0,649,8,2,0,53,1,0,0,983,1688,35,2,4,24,359,19,55,0,0,1,369734,6652,124,230,2,5,2,0,35,14538,1587,0,129,108,7,53,16,16319,1021,18423,59,3028,2,20,59,31,15,0,0,24,7,1,3302,4,5,220,4926,6,2,14,805,732,4,3,2,0,14,2888,12,342,74,3,4,233,2,25,5,21,48,787,40,3,119,11
TCGA.RD.A8N6.01A,2470,1452,7,672,0,4,4,238,6,119,117,2,92,9138,84,7,31209,7,2,205,0,1156,312,1,66497,280,159,51,11,150,2,5,3279,570,5,95,17,649,9,330,2039,1359,104,157,1859,38,24,5,2,0,9,263,10,145,182,58,178,8,119,1,20,383,41,4,0,620,145,0,14,14,706534,4195,2,1138,12,2029,0,1,3,46,79,1530,29,1,3,4,235,1,5,6,135,45475,5,1,187,13,0,2,42,0,0,2,372,1275,21,9,9,31,347,19,10,1,1,0,2596283,55970,928,372,5,6,5,146,136,55051,12088,3,149,1132,13,20,11,10664,656,4714,9,1312,0,38,224,18,7,2,93,10,3,2,71,21,1,227,5594,1,5,8,626,634,0,3,1,1,11,1544,1,233,25,4,1,145,3,1,7,30,48,378,16,2,13,1
TCGA.RD.A8N9.01A,5916,4068,33,963,3,1,4,1246,42,691,208,7,134,22385,139,1,79327,53,0,450,0,5487,1439,7,171032,405,247,83,27,291,4,4,1326,409,3,392,52,2045,31,912,2406,2346,84,155,2053,48,13,10,1,3,3,227,6,118,276,46,308,33,213,1,21,2239,399,42,2,488,118,0,29,24,2159148,8485,37,208,0,371,1,2,6,71,55,1896,24,0,0,12,652,4,4,7,59,109113,5,0,390,16,2,0,45,6,1,7,921,1998,32,2,6,27,260,29,7,0,1,2,1367833,16769,379,618,13,3,1,25,184,81112,15380,2,75,407,14,46,27,21298,1095,17432,29,5079,2,26,245,40,16,4,42,28,9,2,457,25,5,362,14396,8,31,17,1213,1087,1,4,3,1,54,13439,29,1356,233,14,10,403,9,16,10,28,21,1246,31,5,65,10
TCGA.RD.A8NB.01A,5652,5149,67,1742,10,2,1,1375,27,802,144,1,224,15772,186,5,34733,49,3,574,0,6752,283,0,65194,587,904,175,21,227,3,3,1484,217,8,485,23,2793,19,1082,2763,2175,211,115,1957,49,15,12,3,5,32,625,27,407,432,166,353,43,226,1,31,2081,232,13,1,1396,407,2,34,44,1648876,10755,14,1061,8,1347,5,0,8,137,95,4387,61,5,5,14,1048,3,37,2,105,124739,3,0,495,38,7,0,109,7,1,2,927,3513,42,22,5,43,737,56,82,0,4,0,3410361,126494,1554,843,14,10,8,168,247,87613,23250,6,194,1761,13,51,15,27246,1201,25292,35,14959,2,33,300,46,38,10,269,15,12,1,805,19,3,440,12947,14,23,8,1890,1736,4,6,1,2,45,5991,20,1069,275,11,10,378,3,28,7,138,38,857,21,6,36,9
TCGA.SS.A7HO.01A,12958,11005,88,3441,7,5,0,5138,83,670,756,19,43,1334,93,10,109611,74,5,137,0,1384,6599,1,507282,1443,171,9,10,33,10,14,2493,2387,38,120,110,2043,40,543,25201,3768,639,857,13867,161,60,9,6,3,5,1608,58,109,870,172,38,12,29,5,173,14161,4016,276,8,248,109,0,65,180,424270,7254,88,21,1,15,3,2,19,129,85,2754,109,0,13,55,1308,4,0,7,34,52341,4,0,588,104,62,25,384,4,0,10,6379,6888,78,0,5,38,183,221,611,0,1,13,132118,3898,83,782,4,2,12,1,40,16718,3457,19,210,29753,55,202,34,80237,2544,302277,411,215630,16,57,1425,64,24,0,0,33,10,1,4136,44,7,1002,15342,21,247,11,1491,3844,0,4,12,0,42,15477,23,3861,757,8,10,454,15,47,24,63,201,890,67,3,146,25
TCGA.SW.A7EA.01A,21967,10365,39,1109,6,5,8,961,38,687,572,35,23,3701,31,22,85371,49,1,535,0,6364,1391,0,187183,1200,34,15,8,365,4,10,4362,304,11,363,53,2402,33,1138,2956,4900,140,226,2712,76,25,5,3,2,13,348,9,337,249,34,98,6,26,2,20,1558,280,12,1,1213,337,4,37,35,3289769,18359,17,34,1,44,3,6,10,64,63,2926,28,3,2,4,600,6,4,9,69,98106,7,0,500,22,7,3,144,5,0,2,948,2012,53,2,1,18,606,69,118,1,1,0,1526345,8103,303,282,2,2,2,2,44,22019,4086,1,115,1867,10,69,33,17259,1944,74822,162,33964,7,25,449,54,54,0,3,31,10,0,1778,8,8,657,19535,3,6,27,1742,1420,2,5,5,1,140,1868,13,410,86,6,5,255,5,8,9,20,35,2398,78,0,16,6
TCGA.SW.A7EB.01A,14955,8784,45,1855,13,5,20,541,27,411,230,9,143,31828,175,187,114108,22,1,398,0,2206,2338,10,316541,1602,268,45,30,237,6,10,6442,2865,23,264,68,3988,21,697,4275,4988,440,387,3202,98,67,10,5,3,20,571,3,201,409,50,333,8,146,1,89,2599,842,50,2,819,201,0,50,32,790957,7260,15,135,2,198,0,2,101,87,86,2346,45,0,5,5,420,5,2,61,280,114267,5,27,243,30,10,7,216,5,1,5,1315,2429,54,11,20,21,543,113,80,0,0,3,814561,11644,297,1024,17,2,7,11,118,73574,12446,3,237,2430,15,119,55,19652,2383,43337,61,11098,5,37,1089,16,9,0,2,13,11,2,398,16,6,487,10973,11,113,19,1364,818,1,9,2,0,11,5580,24,1539,217,11,6,184,2,25,12,27,40,972,41,4,163,24
TCGA.VQ.A8DT.01A,7470,3142,19,491,0,0,1,278,4,118,142,2,54,10515,55,18,48684,13,0,185,0,810,515,1,93554,222,38,10,6,6,0,0,1324,207,5,79,50,1237,12,513,1685,900,78,87,1463,20,9,2,0,0,7,79,3,31,191,10,77,6,40,0,10,4507,728,40,0,119,31,0,11,26,590513,5920,5,38,0,67,0,0,2,36,12,366,3,0,2,2,183,0,0,9,23,46879,2,28,164,6,2,1,49,3,0,0,719,1308,26,0,4,27,132,18,10,0,0,1,264461,2693,45,333,14,1,5,8,60,25188,4420,4,100,698,6,35,13,32276,1556,28486,69,8953,0,27,344,15,4,0,1,9,1,0,556,2,3,170,5019,0,3,10,525,732,1,0,2,0,15,4227,18,1076,186,8,14,136,3,13,0,2,23,278,11,0,47,6
TCGA.VQ.A8DU.01A,7415,4052,18,867,1,1,1,809,9,366,488,5,51,6539,43,2,51666,8,0,219,0,1526,1401,0,113287,395,84,22,25,49,2,2,936,751,7,168,57,1073,8,346,2500,1514,338,203,1841,44,4,4,1,0,9,155,2,81,226,31,81,1,66,0,11,1693,336,27,0,210,81,2,22,21,718600,3654,17,50,0,49,1,0,5,43,62,1093,22,0,2,4,438,2,1,14,218,74363,3,3,215,14,4,1,58,0,0,3,916,1461,36,4,2,50,310,20,53,1,0,1,336356,3979,58,292,6,3,2,3,52,18056,3229,0,224,469,7,37,17,22338,1170,11545,21,4697,1,43,386,18,9,0,2,6,2,0,418,10,3,153,4276,5,7,20,1224,1194,0,7,4,0,11,2885,12,990,208,3,5,375,9,38,4,17,38,969,69,5,16,1
TCGA.VQ.A8DV.01A,1331,364,6,594,2,0,1,317,1,42,111,4,8,454,13,3,17471,25,0,227,0,1261,121,2,29344,76,70,24,4,12,0,4,401,260,6,12,7,657,5,374,4579,1010,391,206,3426,22,3,2,1,0,2,240,11,85,242,76,4,2,11,0,13,6314,1542,39,10,123,85,0,17,53,206747,869,20,8,0,11,1,0,4,59,18,955,81,0,4,5,404,0,0,1,27,56392,5,0,387,12,7,2,55,0,2,0,591,1176,17,0,2,1,64,22,42,0,0,1,42332,782,9,141,38,0,6,0,29,8090,1190,1,95,449,7,33,7,23243,808,48794,73,24181,4,28,404,6,3,0,1,15,5,1,2347,19,0,238,4909,0,0,1,259,163,2,2,0,0,10,2831,11,742,273,8,5,81,0,32,2,13,103,255,54,2,15,0
TCGA.VQ.A8DZ.01A,3204,1625,17,437,1,0,1,1311,6,246,208,5,12,1605,25,25,39996,11,0,215,0,1255,411,0,68411,149,74,16,6,22,1,2,575,360,10,33,15,1083,16,945,7678,2477,408,231,5735,37,21,2,1,0,2,118,5,24,200,17,25,1,17,0,10,664,171,6,0,170,24,1,25,39,422413,2527,16,8,0,23,0,0,3,24,12,664,23,0,0,1,146,1,0,5,46,89035,1,0,118,3,3,0,47,1,0,0,1354,1591,15,0,1,12,74,9,10,0,0,0,128430,1706,23,181,4,1,3,2,26,13536,2180,1,90,992,4,39,12,17023,461,17300,38,6940,2,11,214,13,7,0,0,13,1,0,118,29,1,131,4020,0,1,2,259,167,2,2,0,0,5,2440,8,445,99,2,3,81,1,8,3,4,113,275,15,0,20,3
TCGA.VQ.A8E0.01A,9989,7509,40,1014,2,6,4,399,9,256,376,7,50,5905,84,12,150147,51,1,314,0,1499,3950,0,247059,401,126,24,15,13,2,3,3679,837,30,241,47,2221,19,783,1498,1152,100,111,969,15,6,8,5,3,10,484,3,56,238,45,62,5,21,0,10,2282,460,41,1,241,56,4,39,43,1429338,10037,21,16,0,44,0,1,23,17,19,1617,59,0,7,17,464,7,0,21,106,86309,2,3,357,15,4,2,74,0,0,1,1756,2754,40,0,5,10,134,38,17,0,0,1,147116,4061,64,725,5,4,4,1,45,34788,5220,1,140,574,8,69,25,106632,6052,36162,60,12904,4,33,261,11,3,0,0,25,2,1,613,6,12,439,10725,3,1,8,1210,1083,0,4,0,0,17,4315,12,829,215,14,4,237,7,18,8,10,22,755,15,0,140,16
TCGA.VQ.A8E2.01A,3090,1457,4,644,1,3,3,1110,13,308,80,2,14,2517,32,3,20067,12,3,126,0,1109,154,0,31574,166,65,28,12,152,1,3,315,285,12,78,17,579,8,293,2711,654,242,113,2107,21,8,8,0,0,3,259,5,52,194,15,69,2,25,1,12,1161,256,5,0,170,52,0,32,31,731515,1945,7,49,0,131,0,0,4,66,25,884,60,0,4,4,261,0,2,6,253,73519,5,0,178,13,15,7,118,0,0,1,1630,1511,12,1,1,4,138,50,13,0,2,1,413307,5421,74,78,13,19,8,3,33,14098,2273,5,72,3383,9,25,4,26920,1135,49643,54,27499,2,38,245,9,0,0,18,16,0,0,172,79,1,128,3222,3,13,7,379,239,3,1,0,0,4,1266,7,794,171,4,4,167,1,47,6,7,60,508,38,1,24,1
